class,year,month,day
2025,2007,01,02
2025,2006,09,05
2025,2007,05,01
2027,2009,03,18
2026,2008,10,12
2027,2008,01,02
2026,2008,01,23
2024,2006,04,17
2026,2007,10,01
2027,2007,12,15
2027,2009,07,21
2024,2005,03,16
2025,2007,04,03
2025,2006,09,27
2027,2009,02,25
2027,2009,07,29
2025,2007,03,19
2024,2006,04,15
2025,2007,06,07
2027,2009,01,10
2026,2007,07,20
2024,2005,10,25
2026,2007,01,29
2027,2007,11,14
2024,2005,04,13
2027,2009,07,31
2026,2007,08,05
2024,2006,10,16
2025,2006,10,18
2027,2009,04,02
2025,2006,10,12
2024,2005,01,11
2026,2007,06,28
2027,2008,10,26
2026,2007,07,23
2024,2006,03,26
2025,2006,10,16
2024,2006,03,31
2024,2005,10,04
2025,2006,08,08
2026,2007,07,14
2026,2007,09,16
2024,2006,05,07
2026,2008,01,23
2025,2006,08,01
2024,2006,01,20
2026,2008,03,27
2024,2005,12,15
2027,2009,09,14
2026,2007,09,29
2026,2008,05,17
2024,2004,10,31
2027,2009,01,24
2026,2007,12,17
2025,2007,02,28
2025,2006,06,28
2025,2007,08,25
2024,2006,01,27
2025,2007,04,16
2027,2008,02,09
2025,2006,08,04
2024,2006,03,18
2027,2008,03,07
2026,2007,10,15
2024,2006,01,19
2024,2005,07,07
2026,2008,05,08
2025,2007,08,02
2025,2007,03,31
2025,2007,02,25
2027,2009,04,27
2027,2008,05,14
2024,2004,10,08
2026,2008,04,15
2024,2006,02,22
2026,2007,03,30
2024,2005,10,20
2025,2007,07,12
2024,2005,12,15
2024,2005,02,24
2024,2005,04,22
2024,2005,08,23
2024,2005,09,16
2027,2009,06,14
2027,2008,01,03
2026,2007,06,01
2024,2006,05,31
2025,2007,03,25
2024,2006,07,21
2025,2006,08,07
2025,2006,11,11
2024,2006,01,02
2025,2007,02,23
2025,2007,05,22
2024,2006,06,26
2026,2007,04,08
2026,2008,03,07
2027,2008,11,29
2025,2006,03,30
2025,2007,01,30
2025,2006,02,01
2024,2006,07,03
2025,2006,11,13
2026,2007,08,24
2024,2005,05,15
2024,2006,01,31
2025,2006,10,01
2024,2005,05,02
2027,2008,12,27
2024,2006,11,11
2024,2005,10,27
2025,2006,11,02
2026,2007,03,27
2026,2008,03,29
2027,2008,08,28
2027,2008,09,17
2025,2006,11,06
2026,2007,01,02
2025,2006,10,23
2026,2007,06,16
2024,2005,01,31
2025,2006,05,06
2024,2004,10,09
2025,2005,10,24
2026,2007,09,29
2024,2006,02,21
2024,2005,01,02
2026,2007,05,13
2024,2005,09,03
2024,2005,09,03
2025,2006,10,06
2027,2008,02,07
2025,2007,02,22
2024,2005,07,07
2024,2006,02,17
2025,2006,09,08
2024,2005,10,12
2025,2006,09,14
2024,2006,04,01
2025,2007,07,26
2026,2008,04,30
2025,2006,10,07
2027,2008,09,28
2027,2009,06,04
2024,2005,09,27
2025,2005,12,20
2027,2008,02,12
2024,2005,04,27
2026,2007,06,22
2026,2007,06,22
2026,2008,10,02
2025,2006,09,19
2027,2008,04,05
2027,2008,02,10
2027,2009,06,19
2025,2007,05,26
2027,2009,08,14
2025,2007,04,25
2027,2007,12,13
2024,2006,07,03
2024,2005,12,06
2026,2008,07,05
2026,2008,04,10
2026,2007,12,24
2024,2005,07,28
2024,2005,07,28
2024,2005,05,20
2026,2007,04,23
2026,2008,06,05
2024,2005,07,01
2024,2006,05,03
2024,2006,02,09
2026,2008,08,24
2025,2006,10,14
2025,2007,06,09
2024,2005,12,19
2026,2006,10,23
2026,2007,02,03
2024,2005,12,09
2026,2007,10,20
2026,2008,05,07
2026,2007,11,14
2024,2005,08,09
2026,2008,05,15
2026,2006,09,14
2024,2004,12,28
2026,2006,09,08
2024,2005,08,31
2026,2008,04,07
2026,2008,06,18
2026,2007,10,01
2026,2008,09,30
2027,2009,09,25
2025,2007,06,08
2025,2007,07,19
2025,2005,09,14
2027,2008,10,30
2026,2008,07,16
2024,2005,12,08
2027,2009,01,09
2025,2007,02,13
2026,2007,09,07
2024,2004,12,08
2025,2007,01,29
2024,2004,12,12
2025,2006,11,21
2025,2006,10,01
2027,2008,09,14
2026,2008,05,04
2026,2007,10,25
2024,2004,08,31
2025,2007,08,12
2026,2008,01,23
2024,2005,11,23
2025,2007,05,12
2024,2006,02,15
2024,2005,02,15
2025,2007,05,28
2026,2008,01,19
2024,2005,12,09
2025,2006,09,26
2027,2009,03,01
2024,2005,08,05
2025,2006,02,07
2026,2008,03,02
2025,2006,07,11
2025,2007,07,23
2026,2007,12,07
2027,2008,09,02
2024,2005,09,08
2024,2005,04,05
2027,2008,09,02
2024,2005,09,08
2024,2005,04,05
2025,2006,01,26
2027,2007,11,25
2027,2008,02,10
2027,2007,10,22
2026,2008,02,25
2026,2008,03,29
2026,2007,10,12
2024,2005,03,04
2027,2008,04,01
2024,2006,04,22
2027,2007,11,21
2027,2008,08,01
2024,2005,05,17
2027,2009,03,04
2024,2005,09,04
2026,2007,07,12
2025,2007,03,26
2026,2006,09,27
2025,2007,08,08
2024,2006,02,10
2025,2006,06,12
2027,2008,03,12
2025,2007,07,24
2024,2005,06,28
2025,2006,10,09
2024,2005,08,07
2027,2008,12,29
2024,2005,12,19
2027,2009,06,24
2024,2005,09,05
2027,2008,12,10
2026,2007,10,31
2026,2008,01,28
2024,2006,03,24
2025,2006,06,12
2026,2008,07,18
2024,2005,05,30
2024,2006,06,24
2027,2007,12,13
2027,2009,01,12
2027,2009,09,02
2026,2007,09,29
2024,2005,08,01
2026,2007,09,10
2027,2009,05,15
2026,2007,10,19
2025,2007,07,18
2026,2007,05,27
2025,2005,08,28
2027,2008,12,23
2025,2006,07,09
2027,2009,05,06
2027,2008,05,26
2025,2006,07,10
2027,2008,01,21
2024,2005,07,11
2026,2006,11,06
2027,2008,03,05
2024,2005,11,02
2027,2008,05,21
2024,2005,08,25
2024,2004,10,01
2026,2007,03,30
2025,2006,08,04
2025,2005,12,07
2025,2006,08,03
2027,2009,01,29
2027,2008,05,22
2024,2005,03,26
2025,2007,05,22
2024,2006,02,06
2025,2006,01,18
2025,2006,12,11
2025,2007,01,19
2026,2008,06,09
2025,2007,01,15
2025,2007,03,09
2025,2006,01,27
2024,2004,12,23
2027,2009,04,15
2024,2006,06,10
2024,2006,06,10
2025,2006,11,16
2024,2005,09,06
2024,2005,04,13
2025,2007,10,29
2027,2009,08,08
2025,2005,09,05
2024,2006,01,30
2026,2008,03,05
2024,2005,08,25
2026,2007,08,09
2025,2007,02,11
2025,2006,02,17
2024,2004,12,01
2025,2006,11,28
2024,2005,04,22
2027,2009,07,28
2025,2007,01,05
2027,2009,10,17
2027,2009,02,21
2024,2005,07,14
2026,2008,05,28
2026,2006,11,08
2024,2005,12,08
2027,2008,08,18
2024,2005,05,31
2026,2007,12,16
2026,2008,07,28
2025,2006,10,30
2025,2006,09,16
2026,2007,09,10
2025,2005,09,05
2026,2007,10,01
2025,2007,02,28
2026,2007,09,14
2024,2004,10,18
2027,2008,11,15
2024,2005,07,29
2027,2008,09,15
2026,2006,08,21
2025,2007,11,21
2026,2008,05,09
2024,2005,12,24
2026,2007,05,18
2024,2006,02,01
2027,2008,10,03
2024,2006,01,21
2024,2006,06,27
2024,2004,03,16
2026,2008,04,16
2024,2006,03,02
2027,2009,05,15
2027,2008,08,24
2026,2007,04,12
2026,2007,08,18
2024,2005,10,11
2024,2005,09,03
2025,2005,08,08
2026,2008,08,22
2024,2005,11,18
2026,2008,04,18
2025,2007,04,15
2024,2006,02,15
2024,2006,05,21
2024,2005,03,18
2027,2008,05,07
2025,2007,05,14
2024,2005,12,29
2025,2006,09,23
2024,2005,01,05
2026,2007,06,19
2026,2007,11,15
2024,2004,10,04
2025,2006,04,18
2024,2005,05,10
2026,2006,12,24
2024,2005,05,22
2025,2006,07,13
2024,2004,10,21
2025,2007,02,18
2026,2007,07,16
2024,2004,06,17
2024,2005,09,13
2027,2009,01,14
2024,2004,09,02
2025,2007,07,31
2025,2006,06,19
2025,2005,10,27
2025,2006,08,16
2026,2007,08,30
2024,2005,12,04
2027,2009,05,16
2024,2006,06,16
2025,2006,06,11
2027,2008,12,05
2026,2008,03,26
2025,2006,03,28
2024,2006,05,20
2025,2006,03,18
2025,2006,10,29
2026,2007,02,22
2024,2005,06,24
2025,2006,09,17
2027,2008,09,06
2025,2006,07,21
2025,2007,02,14
2025,2007,04,28
2027,2009,05,06
2025,2006,09,07
2026,2008,05,21
2024,2006,11,15
2026,2007,10,08
2025,2007,04,29
2027,2009,05,19
2025,2007,02,25
2026,2007,11,20
2024,2006,08,18
2024,2006,01,24
2026,2008,03,01
2027,2008,08,22
2026,2007,08,18
2027,2009,03,30
2024,2004,09,14
2025,2007,04,11
2024,2006,08,05
2026,2008,06,18
2025,2006,07,26
2027,2009,05,13
2025,2007,01,01
2025,2007,05,01
2027,2008,08,04
2025,2006,05,12
2024,2005,10,04
2026,2007,08,31
2025,2006,07,26
2024,2004,11,23
2026,2008,04,15
2024,2006,10,14
2025,2005,10,25
2024,2004,10,15
2024,2006,08,12
2025,2007,01,09
2024,2006,03,02
2024,2005,11,08
2025,2007,01,21
2027,2008,11,11
2024,2006,04,06
2027,2008,12,10
2024,2005,10,18
2024,2004,08,20
2026,2008,05,12
2024,2005,10,08
2024,2006,05,11
2027,2008,05,22
2024,2006,06,11
2027,2009,02,17
2024,2005,06,08
2026,2008,05,24
2025,2006,04,01
2026,2007,04,10
2024,2005,07,06
2025,2007,05,24
2024,2005,11,28
2026,2008,06,06
2026,2008,06,06
2024,2005,12,01
2026,2006,12,28
2025,2005,12,24
2024,2005,04,20
2027,2009,04,02
2025,2007,11,17
2025,2006,06,15
2026,2007,10,25
2025,2006,11,06
2024,2005,10,17
2025,2006,07,28
2024,2005,08,27
2026,2007,10,18
2024,2006,11,15
2025,2007,05,29
2025,2005,11,09
2025,2005,11,09
2027,2008,08,25
2025,2007,01,15
2025,2006,07,05
2024,2006,04,05
2024,2004,06,09
2026,2007,08,11
2027,2009,09,09
2026,2007,08,24
2024,2005,08,20
2027,2009,01,14
2024,2006,01,25
2026,2008,03,21
2025,2005,11,16
2027,2009,02,04
2024,2005,09,17
2024,2006,06,17
2026,2007,09,24
2025,2007,02,15
2024,2006,04,14
2026,2007,09,15
2025,2007,01,05
2025,2007,02,16
2026,2008,12,23
2025,2006,05,18
2026,2007,08,15
2024,2005,05,12
2024,2004,10,08
2026,2007,08,11
2024,2006,12,30
2024,2005,10,15
2026,2008,05,20
2024,2004,09,15
2025,2006,03,30
2024,2005,11,16
2024,2005,08,10
2025,2007,04,03
2025,2006,10,02
2025,2007,04,24
2025,2005,05,11
2027,2008,12,16
2024,2005,01,21
2024,2006,03,30
2026,2008,05,27
2025,2006,09,29
2027,2008,03,30
2024,2005,10,31
2024,2006,03,14
2025,2006,08,16
2026,2008,07,23
2025,2007,01,22
2026,2007,09,05
2025,2005,12,02
2026,2008,08,23
2026,2007,04,07
2025,2007,01,01
2025,2007,04,09
2025,2007,05,21
2025,2007,07,18
2025,2005,12,20
2025,2006,03,05
2025,2007,03,26
2024,2006,06,06
2026,2006,11,12
2025,2005,11,18
2024,2006,04,28
2027,2008,07,21
2024,2004,11,13
2025,2005,12,23
2026,2008,02,16
2025,2005,09,27
2025,2006,12,08
2024,2005,08,11
2026,2006,11,12
2025,2007,03,28
2025,2005,07,05
2025,2007,04,01
2025,2005,10,13
2025,2007,03,06
2024,2005,06,21
2024,2006,08,11
2026,2007,11,08
2024,2004,07,27
2026,2007,11,14
2026,2007,11,05
2024,2005,02,02
2024,2005,03,13
2025,2007,06,27
2024,2005,12,13
2025,2006,11,29
2025,2005,09,03
2027,2008,03,04
2024,2004,02,27
2024,2005,07,18
2027,2008,12,01
2024,2005,04,17
2024,2006,03,21
2026,2007,03,16
2027,2008,09,09
2026,2007,05,15
2027,2008,06,20
2027,2008,07,22
2026,2007,01,12
2024,2004,10,13
2024,2005,07,28
2026,2008,05,22
2027,2008,12,30
2026,2007,06,18
2026,2007,06,18
2027,2008,08,08
2024,2005,06,08
2024,2006,07,12
2026,2008,05,02
2024,2006,01,05
2025,2007,03,12
2025,2005,10,14
2027,2008,03,26
2025,2007,08,31
2024,2005,12,13
2026,2008,03,06
2024,2005,04,18
2025,2007,02,05
2025,2006,06,21
2025,2005,12,14
2025,2007,03,01
2027,2008,06,12
2026,2007,03,30
2024,2005,12,13
2025,2007,01,15
2024,2005,09,01
2027,2009,03,10
2025,2006,10,11
2026,2008,06,30
2026,2007,11,13
2025,2006,12,22
2026,2007,09,15
2026,2008,04,13
2024,2005,11,14
2027,2009,06,13
2025,2006,11,15
2026,2008,07,28
2026,2007,06,20
2024,2006,07,21
2024,2005,09,20
2025,2006,02,07
2026,2007,11,24
2026,2007,07,25
2026,2008,07,09
2024,2005,06,01
2026,2007,10,30
2027,2008,09,13
2025,2007,08,24
